,popularity,budget,revenue,runtime,vote_average,vote_count,percent_return,year,is_english,is_Friday,is_Holiday
239,87.225,110000000.0,331526598.0,115.0,7.597,6863.0,3.013878163636364,2021,1,1,0
240,86.959,160000000.0,1131927996.0,129.0,7.468,13706.0,7.074549975,2019,1,1,0
241,86.827,200000000.0,531865000.0,116.0,6.8,13813.0,2.659325,2013,1,0,0
242,86.404,200000000.0,165160005.0,151.0,6.512,7404.0,0.825800025,2020,1,0,0
243,85.82,4000000.0,14759148.0,115.0,8.061,1965.0,3.689787,2007,0,1,0
244,85.709,130000000.0,448191819.0,88.0,7.4,5975.0,3.447629376923077,1999,1,1,0
245,85.232,200000000.0,379751655.0,134.0,7.4,8675.0,1.898758275,2021,1,0,0
246,85.206,63000000.0,100853753.0,139.0,8.432,25890.0,1.6008532222222225,1999,1,1,0
247,85.156,150000000.0,474968763.0,115.0,7.035,13343.0,3.16645842,2005,1,0,0
248,84.979,80000000.0,415885488.0,124.0,6.882,7915.0,5.1985686,1999,1,1,0
249,84.83,69000000.0,533679475.0,95.0,7.2,13748.0,7.734485144927536,2010,1,0,0
250,84.778,150000000.0,665692281.0,91.0,6.936,6027.0,4.43794854,2011,1,0,0
251,84.534,76000000.0,970761885.0,98.0,6.9,10188.0,12.77318269736842,2013,1,0,0
252,84.521,750000.0,78396.0,101.0,5.4,560.0,0.104528,2011,1,0,0
253,84.371,80000000.0,273144151.0,85.0,7.5,5379.0,3.4143018875,2002,1,1,0
254,84.159,11363000.0,257591776.0,133.0,8.5,15314.0,22.6693457713632,2019,0,0,0
255,83.973,175000000.0,1073394593.0,100.0,7.5,8647.0,6.133683388571429,2019,1,0,0
256,83.379,185000000.0,1004558444.0,152.0,8.506,29235.0,5.430045643243243,2008,1,0,0
257,83.273,165000000.0,494879471.0,98.0,7.803,11583.0,2.999269521212121,2010,1,0,0
258,82.89,12600000.0,28650575.0,84.0,6.341,2223.0,2.2738551587301585,2003,1,1,0
259,82.674,258000000.0,890871626.0,139.0,6.38,12475.0,3.4529907984496124,2007,1,0,0
260,82.514,102000000.0,520000000.0,153.0,8.091,11096.0,5.098039215686274,1991,1,0,0
261,82.364,40000000.0,173930596.0,109.0,7.0,10106.0,4.3482649,2011,1,0,0
262,82.253,45000000.0,376141306.0,91.0,6.329,5968.0,8.358695688888888,2012,1,0,0
263,82.094,100000000.0,169327687.0,78.0,7.5,5818.0,1.69327687,2000,1,1,0
264,81.965,200000000.0,743559607.0,104.0,7.027,9544.0,3.717798035,2013,1,0,0
265,81.907,13000000.0,102600000.0,202.0,8.597,10604.0,7.892307692307693,1974,1,1,0
266,81.734,18000000.0,14134907.0,131.0,7.394,633.0,0.7852726111111111,2022,0,1,0
267,81.278,12400000.0,17133446.0,124.0,6.6,1358.0,1.3817295161290322,2019,0,0,0
268,81.208,18000000.0,358994850.0,120.0,6.7,8329.0,19.94415833333333,1992,1,0,0
269,81.09,180000000.0,853977126.0,131.0,7.6,18785.0,4.7443173666666665,2017,1,0,0
270,81.084,84000000.0,275650703.0,88.0,6.05,3874.0,3.281555988095238,2002,1,1,0
271,80.898,35000000.0,701842551.0,135.0,7.236,17373.0,20.052644314285715,2017,1,0,0
272,80.763,50000000.0,149878437.0,109.0,6.2,4187.0,2.99756874,2011,1,1,0
273,80.718,110000000.0,785896609.0,120.0,7.493,15624.0,7.144514627272727,2018,1,0,0
274,80.549,85000000.0,346147658.0,107.0,6.131,8293.0,4.072325388235294,2017,1,1,0
275,80.527,20000000.0,92924405.0,132.0,7.5,1851.0,4.64622025,2017,1,1,0
276,80.517,90000000.0,426505244.0,124.0,7.2,7303.0,4.738947155555556,2020,1,0,0
277,80.351,85000000.0,252712101.0,93.0,7.507,6512.0,2.9730835411764707,1997,1,1,0
278,80.228,180000000.0,407602906.0,131.0,6.862,11115.0,2.264460588888889,2013,1,0,0
279,80.165,175000000.0,529221154.0,112.0,7.2,6657.0,3.02412088,2018,1,0,0
280,79.781,132000000.0,373552094.0,92.0,6.514,3627.0,2.829940106060606,2014,1,0,0
281,79.541,165000000.0,471222889.0,101.0,7.321,11138.0,2.855896296969697,2012,1,0,0
282,79.41,230000000.0,794861794.0,128.0,6.6,10741.0,3.455920843478261,2017,1,0,0
283,79.236,60000000.0,4700000.0,95.0,7.545,2593.0,0.0783333333333333,2020,1,1,0
284,79.231,217000000.0,605425157.0,154.0,6.052,5377.0,2.78997768202765,2017,1,1,0
285,79.08,50000000.0,113244290.0,92.0,6.6,3334.0,2.2648858,2008,1,0,0
286,79.069,40000000.0,317375031.0,108.0,7.106,5853.0,7.934375775,2009,1,0,0
287,78.558,70000000.0,58058367.0,116.0,5.8,1607.0,0.8294052428571429,2012,1,0,0
288,78.454,9000000.0,278454358.0,117.0,7.33,15752.0,30.93937311111111,2016,1,0,0
289,78.119,200000000.0,863756051.0,137.0,7.625,19285.0,4.318780255,2017,1,0,0
290,77.448,95000000.0,226497209.0,118.0,6.2,6707.0,2.384181147368421,2010,1,0,0
